price,area,bedrooms,bathrooms,House Age,hotwaterheating,airconditioning,furnishingstatus,Address
6419000,6750,2,1,1,no,no,furnished,"646 Nicholas Mall Apt. 058
East Danielle, OR 53708"
6405000,4800,3,2,4,no,yes,furnished,"874 Laura Throughway Suite 350
Port Michaelberg, PW 94284-9448"
6300000,7200,3,2,1,no,yes,semi-furnished,"7373 Hart Brooks Apt. 168
East Christianside, PR 72679-9159"
6300000,6000,4,2,4,no,no,semi-furnished,"035 Mark Bridge
West Craig, MT 78649"
6300000,4100,3,2,3,no,yes,semi-furnished,"69600 Wilson Rue
Elizabethland, PW 17767-2884"
6300000,9000,3,1,1,no,no,furnished,"001 Steve Plaza
Jessicastad, UT 25190"
6300000,6400,3,1,1,no,yes,semi-furnished,"238 Anthony Drive
Acostahaven, AS 62753-6637"
6293000,6600,3,2,3,no,yes,empty,"01818 Wilson Spurs
West Andreaton, SD 69568-7005"
6265000,6000,4,1,3,no,no,empty,"95779 Walton Square
Bakershire, PR 49599"
6230000,6600,3,2,1,no,yes,empty,"124 Russell Mountains Apt. 591
North Sharonfurt, OH 67836-4969"
6230000,5500,3,1,3,no,no,empty,"73080 Veronica Turnpike Suite 991
New Debra, VA 61246"
6195000,5500,3,2,4,no,yes,semi-furnished,"106 Williams Well Apt. 657
Samanthaview, PR 87811"
6195000,6350,3,2,3,no,yes,furnished,"Unit 3405 Box 4348
DPO AP 68816-2990"
6195000,5500,3,2,1,no,no,furnished,"4007 Kimberly Crossing
Nathanielview, NC 72093-8287"
6160000,4500,3,1,4,no,yes,empty,"Unit 5889 Box 7282
DPO AE 41177-0399"
6160000,5450,4,2,1,no,yes,semi-furnished,"075 Andrea Green Suite 201
Johnshire, KS 50389"
6125000,6420,3,1,3,no,no,empty,"6811 Spears Trail Suite 081
East Troy, MS 43910"
6107500,3240,4,1,3,no,no,semi-furnished,"69401 Danielle Motorway
New Dennis, IL 53971"
6090000,6615,4,2,2,yes,no,semi-furnished,"2276 Riley Flats Suite 975
Johnmouth, NH 39983"
6090000,6600,3,1,1,no,no,semi-furnished,"91111 Crane Spur
Kathleenmouth, ME 43022-3191"
6090000,8372,3,1,3,no,yes,empty,"744 Hill Ports
Mooreside, MH 20945-2825"
6083000,4300,6,2,2,no,no,furnished,"019 Lisa Village Apt. 379
Maxwellmouth, DE 26176"
6083000,9620,3,1,1,no,no,furnished,"50933 Barber Divide Suite 927
Jacksonborough, NE 46696-1788"
6020000,6800,2,1,1,no,no,furnished,"USS Harrington
FPO AE 12326"
6020000,8000,3,1,1,no,yes,semi-furnished,"246 Michele Lock Suite 093
South Michellemouth, VI 62800"
6020000,6900,3,2,1,no,no,empty,"356 Madeline Locks Apt. 115
Kaitlinland, MS 49150-0243"
5950000,3700,4,1,2,no,yes,furnished,"232 Allen Ridge
West Jasonview, CT 93021"
5950000,6420,3,1,1,no,yes,furnished,"5042 Ricky Road
New Candice, MN 40661-8809"
5950000,7020,3,1,1,no,yes,semi-furnished,"60860 Griffin Streets Apt. 040
East Catherine, NH 18346"
5950000,6540,3,1,1,no,no,furnished,"89002 Robert Square Suite 028
Port Jennyside, CA 38546-6307"
5950000,7231,3,1,2,no,yes,semi-furnished,"8533 Sparks Lodge
New Kevin, GA 98179"
5950000,6254,4,2,1,no,no,semi-furnished,"922 Mark Lodge
Matthewton, ID 71131-3139"
5950000,7320,4,2,2,no,no,furnished,"757 Sherri Shores Suite 744
Jesusfurt, OK 73052-4985"
5950000,6525,3,2,4,no,no,furnished,"PSC 8479, Box 0952
APO AA 33741"
5943000,15600,3,1,1,no,yes,semi-furnished,"5560 Michaela Spur Suite 730
West Charlottefurt, PA 00463"
5880000,7160,3,1,1,no,no,empty,"255 Sosa Pines Suite 751
Wilsonview, MT 31615"
5880000,6500,3,2,3,no,yes,empty,"156 Conner Lane
East Brittany, MI 26733"
5873000,5500,3,1,3,no,yes,furnished,"478 Vasquez Fort Apt. 346
Aliciaside, NV 37124-6408"
5873000,11460,3,1,3,no,no,semi-furnished,"67610 Smith Knolls
Brendaberg, MA 55188-7972"
5866000,4800,3,1,1,no,no,empty,"504 Robertson Streets
Jamesshire, WA 56754"
5810000,5828,4,1,4,no,no,semi-furnished,"777 Ross Crossroad
Kaiserville, RI 24445"
5810000,5200,3,1,3,no,yes,semi-furnished,"2418 Samantha Green Apt. 016
Port Keithmouth, VT 62207-0408"
5810000,4800,3,1,3,no,yes,empty,"95957 Tara Hill Suite 428
Huntland, KS 57002-5552"
5803000,7000,3,1,1,no,no,semi-furnished,"26906 Simmons Underpass Suite 444
Port Tinashire, DC 13101"
5775000,6000,3,2,4,no,yes,empty,"4930 James Flats
New Shannon, NJ 75829-8040"
5740000,5400,4,2,2,no,yes,empty,"78212 Turner Ville Apt. 217
West Lauraberg, MP 47353-3682"
5740000,4640,4,1,2,no,no,semi-furnished,"33410 Smith Summit
West Kimberlyberg, CT 49785-3758"
5740000,5000,3,1,3,no,yes,semi-furnished,"49940 Ramirez Mission Suite 136
West Bryan, MD 95291-3904"
5740000,6360,3,1,1,no,yes,furnished,"4746 Morgan Forge
Diaztown, VT 79978"
5740000,5800,3,2,4,no,yes,empty,"5808 Burton Viaduct
North Nicholasport, CO 32392-1208"
5652500,6660,4,2,2,no,no,semi-furnished,"8093 Lara Overpass Apt. 364
Lake Brookebury, NV 30264"
5600000,10500,4,2,2,no,no,semi-furnished,"249 Susan Canyon
North Jessica, ID 13412"
5600000,4800,5,2,3,yes,no,empty,"08091 Bush Course
New Michael, RI 47524-7511"
5600000,4700,4,1,2,no,yes,furnished,"PSC 6933, Box 3805
APO AP 50576"
5600000,5000,3,1,4,no,no,furnished,"6798 Smith Junctions
Wolfeton, WY 86565-5079"
5600000,10500,2,1,1,no,no,semi-furnished,"256 Sanchez Ports Apt. 057
Johnmouth, PA 69763"
5600000,5500,3,2,2,no,no,semi-furnished,"68672 Guzman Ridge
Clinefurt, WI 04078-6179"
5600000,6360,3,1,3,no,no,semi-furnished,"4447 Steven River Suite 076
West Karenmouth, DC 61561-8593"
5600000,6600,4,2,1,no,no,semi-furnished,"USCGC Hess
FPO AE 29193"
5600000,5136,3,1,2,no,yes,empty,"0617 Neal Curve
South Daniel, AS 09326"
5565000,4400,4,1,2,no,yes,semi-furnished,"412 Janet Radial Suite 115
Kariview, NY 37073-8343"
5565000,5400,5,1,2,no,yes,furnished,"9155 Kayla Station Suite 233
Natalieborough, SC 99093-8399"
5530000,3300,3,3,2,no,no,semi-furnished,"3062 Donald Inlet Suite 642
West Matthew, GU 49340"
5530000,3650,3,2,2,no,no,semi-furnished,"764 Timothy Turnpike
North Audreymouth, TX 02395"
5530000,6100,3,2,1,no,no,furnished,"862 Ryan Flat
West Larryborough, WV 11517"
5523000,6900,3,1,1,no,no,semi-furnished,"378 Evans Crest
East Shelbystad, HI 23326"
5495000,2817,4,2,2,no,no,furnished,"09897 Katherine Forge
North Johnside, NC 01211"
5495000,7980,3,1,1,no,no,semi-furnished,"2367 Noah Center
North Dakotashire, PA 99619-0890"
5460000,3150,3,2,1,no,yes,furnished,"19678 Noble Cove Suite 264
South Elizabethfort, CO 13304-1647"
5460000,6210,4,1,4,no,yes,furnished,"8803 Jackson Ramp
South Thomasland, RI 09631-6361"
5460000,6100,3,1,3,no,yes,semi-furnished,"87629 Shawn Crossing
North William, MN 71601-6188"
5460000,6600,4,2,2,no,no,semi-furnished,"2574 Shannon Alley
South Fred, OR 64217"
5425000,6825,3,1,1,no,yes,semi-furnished,"676 Jose Locks Apt. 415
South Cynthia, SC 89264"
5390000,6710,3,2,2,no,no,furnished,"4160 Martinez Bridge Apt. 713
West Ann, MI 89447-0160"
5383000,6450,3,2,1,yes,no,empty,"26847 Weber Ports Apt. 767
North Robinton, FM 43014"
5320000,7800,3,1,1,no,yes,empty,"PSC 8891, Box 6475
APO AP 28726-5123"
5285000,4600,2,2,1,no,yes,semi-furnished,"623 Jackson Road Apt. 492
Sarahville, NM 19973"
5250000,4260,4,1,2,no,yes,furnished,"0575 Edward Cliff
Miguelmouth, NY 06408"
5250000,6540,4,2,2,no,yes,semi-furnished,"6660 Alex Park
Barkerfort, WY 52781"
5250000,5500,3,2,1,no,no,semi-furnished,"176 Parker Grove Apt. 591
Nicoleshire, MO 83183-5326"
5250000,10269,3,1,1,no,no,semi-furnished,"203 Amy Ford Suite 158
Kelleyfurt, LA 49990-9626"
5250000,8400,3,1,2,no,yes,empty,"842 Jackson Parkway
Angelabury, MI 68188-8699"
5250000,5300,4,2,1,no,yes,empty,"5339 Charles Road Apt. 570
East Angelicastad, PR 36295-7649"
5250000,3800,3,1,2,no,no,empty,"0647 Ramirez Hill
New Crystalport, AZ 33060"
5250000,9800,4,2,2,no,no,semi-furnished,"4233 Chase Fields
East Vanessabury, OR 85375-7861"
5250000,8520,3,1,1,no,yes,furnished,"0606 Ricardo Drive
Williamton, GU 79243"
5243000,6050,3,1,1,no,no,semi-furnished,"14157 Jones Parkway Suite 319
North Haley, AK 18534"
5229000,7085,3,1,1,no,no,semi-furnished,"2579 Pamela Shoals
North Christianhaven, TX 95259"
5215000,3180,3,2,2,no,no,semi-furnished,"PSC 5171, Box 6452
APO AA 44610-4655"
5215000,4500,4,2,1,no,yes,semi-furnished,"23682 William Glens Apt. 920
Lake Hollystad, CO 20067"
5215000,7200,3,1,2,no,no,furnished,"32521 Martinez Highway
Stephaniehaven, NY 78577"
5145000,3410,3,1,2,no,yes,semi-furnished,"9109 Omar View Suite 461
East Sarahfort, WI 02969"
5145000,7980,3,1,1,no,no,semi-furnished,"5611 Chandler Mill
East Brianfort, AK 51236-0093"
5110000,3000,3,2,2,no,no,furnished,"PSC 5599, Box 5942
APO AP 55563-1953"
5110000,3000,3,1,2,no,no,empty,"2128 Shawna Orchard Suite 992
New Melissabury, MN 22338"
5110000,11410,2,1,2,no,no,furnished,"019 Moore Center Apt. 643
West John, KY 54923"
5110000,6100,3,1,1,no,yes,semi-furnished,"Unit 3192 Box 6415
DPO AP 76779-7624"
5075000,5720,2,1,2,no,yes,empty,"20185 Mary Crest
South Reneeville, VI 91892"
5040000,3540,2,1,1,no,no,semi-furnished,"18067 Williams Roads Suite 683
South Christineton, CO 76227"
5040000,7600,4,1,2,no,yes,furnished,"089 Wilson Forks Suite 185
East Gina, PA 98785-6132"
5040000,10700,3,1,2,no,no,semi-furnished,"9643 Oscar Valley
North Richardstad, ME 14629-9980"
5040000,6600,3,1,1,no,no,furnished,"46619 Morgan Squares
Stevenfurt, FM 70548"
5033000,4800,2,1,1,no,no,semi-furnished,"407 Silva Inlet Apt. 301
East Carolmouth, SC 73414"
5005000,8150,3,2,1,no,no,semi-furnished,"USCGC Friedman
FPO AE 57606-0743"
4970000,4410,4,3,2,no,no,semi-furnished,"038 Anderson Club Suite 485
Richardsonfort, MA 22267"
4970000,7686,3,1,1,yes,no,semi-furnished,"014 Shaun Gardens
Lake Todd, HI 08110"
4956000,2800,3,2,2,no,yes,semi-furnished,"2606 Stout Inlet
Port Brenda, SC 59596-5906"
4935000,5948,3,1,2,no,yes,semi-furnished,"94952 Hall Cliffs Suite 366
West Jessica, MT 23902"
4907000,4200,3,1,2,no,no,furnished,"8581 Johnson Ranch Apt. 905
Jacquelinefurt, MH 08716-8228"
4900000,4520,3,1,2,no,yes,semi-furnished,"089 Jessica Dale
West Melissa, PW 59364"
4900000,4095,3,1,2,no,yes,semi-furnished,"USNS Hamilton
FPO AA 90003"
4900000,4120,2,1,1,no,no,semi-furnished,"8016 Hicks Alley Apt. 735
Nicoleside, WV 73615-4795"
4900000,5400,4,1,2,no,no,semi-furnished,"04952 Michael Terrace Apt. 414
Port Tammy, GA 56924-1868"
4900000,4770,3,1,1,no,no,semi-furnished,"3890 Hunt Trail
Davidhaven, OR 04793"
4900000,6300,3,1,1,no,yes,semi-furnished,"8398 Sanchez Gateway Suite 937
Mccoyburgh, PA 32814"
4900000,5800,2,1,1,no,yes,semi-furnished,"67095 Jeffrey Islands Suite 573
West Elizabeth, MI 33061-9433"
4900000,3000,3,1,2,no,yes,semi-furnished,"31995 Moore Brook
New Melissa, MO 19787"
4900000,2970,3,1,3,no,no,semi-furnished,"Unit 5683 Box 5483
DPO AA 78774-2982"
4900000,6720,3,1,1,no,no,empty,"77194 Carlson Causeway Apt. 904
West John, KY 70976"
4900000,4646,3,1,2,no,no,semi-furnished,"73601 Donaldson Squares
Port John, VI 73473"
4900000,12900,3,1,1,no,no,furnished,"6864 Michelle Field Apt. 339
Madisonmouth, KY 99033"
4893000,3420,4,2,2,no,yes,semi-furnished,"35165 Haley Falls Suite 341
South Elizabeth, VT 29143-4442"
4893000,4995,4,2,1,no,no,semi-furnished,"54993 James Place Suite 797
South Kenneth, CA 86457-1211"
4865000,4350,2,1,1,no,no,empty,"6799 Downs Plaza
Randallberg, NH 17910-5241"
4830000,4160,3,1,3,no,no,empty,"79098 Brandon Island Suite 624
Horneshire, MA 35281-8110"
4830000,6040,3,1,1,no,no,semi-furnished,"8173 Rush Wells
New Stephanie, MS 56356"
4830000,6862,3,1,2,no,yes,furnished,"762 Corey Landing Suite 528
Billymouth, AZ 48958"
4830000,4815,2,1,1,no,yes,semi-furnished,"077 Laura Curve
New Christopherview, AZ 15138"
4795000,7000,3,1,2,no,no,empty,"5342 Dean Overpass
Matthewville, MI 08613"
4795000,8100,4,1,4,no,yes,semi-furnished,"469 William Shore Suite 726
South Krystalchester, MP 47720"
4767000,3420,4,2,2,no,no,semi-furnished,"566 Brown Grove Apt. 886
Cardenasmouth, IN 87042-1285"
4760000,9166,2,1,1,no,yes,semi-furnished,"017 Bowers Field
Williamsstad, OK 15934-8122"
4760000,6321,3,1,2,no,yes,furnished,"05946 Wong Spur
Susanshire, NY 67746-2473"
4760000,10240,2,1,1,no,yes,unfurnished,"9297 Cole Highway
Patrickhaven, DC 02945-8988"
4753000,6440,2,1,1,no,yes,semi-furnished,"88404 William Cape Apt. 249
Dawsonhaven, MA 21219-3496"
4690000,5170,3,1,4,no,yes,semi-furnished,"4896 Jennifer River Apt. 180
Shafferberg, MN 77619-4214"
4690000,6000,2,1,1,no,yes,furnished,"82014 Stanton Gardens Suite 664
Lake Dawnborough, DC 86197-4191"
4690000,3630,3,1,2,no,no,semi-furnished,"551 Macdonald Viaduct
West Stephanie, TN 55360"
4690000,9667,4,2,2,no,no,semi-furnished,"860 Thompson Skyway Suite 901
Kimshire, AR 37353-5106"
4690000,5400,2,1,2,no,no,semi-furnished,"5036 Peterson Throughway
East Megan, GA 08456-4696"
4690000,4320,3,1,1,no,no,semi-furnished,"Unit 5584 Box 2763
DPO AE 40544"
4655000,3745,3,1,2,no,no,furnished,"09437 Carolyn Mountain
Knappview, CA 70608-7504"
4620000,4160,3,1,1,no,yes,unfurnished,"5052 Chloe Lights Apt. 374
North Scott, IA 81431"
4620000,3880,3,2,2,no,no,semi-furnished,"8781 Robert Lakes Suite 880
East Wendy, ID 51813"
4620000,5680,3,1,2,no,yes,semi-furnished,"3440 Cannon Lakes
Port Melaniehaven, WA 60324-0399"
4620000,2870,2,1,2,no,no,semi-furnished,"0956 Isabella Lodge
East Valeriefurt, CO 64441"
4620000,5010,3,1,2,no,no,semi-furnished,"36736 Kristi Radial
Port Carl, ID 35292-9269"
4613000,4510,4,2,2,no,no,semi-furnished,"10492 Reed Track
North Ericstad, IA 78774-8363"
4585000,4000,3,1,2,no,no,furnished,"Unit 6269 Box 9041
DPO AE 13073"
4585000,3840,3,1,2,no,no,semi-furnished,"1486 Elizabeth Plains Apt. 235
New Cynthia, MD 73729-5878"
4550000,3760,3,1,1,no,no,semi-furnished,"239 Anna Locks Suite 853
Lisaland, GA 31515-2260"
4550000,3640,3,1,2,no,yes,furnished,"77610 Evan Field Apt. 712
West Shannonland, WI 30751"
4550000,2550,3,1,2,no,no,furnished,"11385 Thomas Ford
New Karinaton, HI 01691-9923"
4550000,5320,3,1,2,no,no,semi-furnished,"385 Barnes Lock Suite 561
Lake Kellytown, NJ 74310"
4550000,5360,3,1,2,no,no,unfurnished,"039 Chan Meadows
South Amandahaven, TN 78068"
4550000,3520,3,1,1,no,no,semi-furnished,"945 Schneider Villages Apt. 519
West Brittneyburgh, ID 36371-1622"
4550000,8400,4,1,4,no,no,unfurnished,"15288 Steven Extensions Suite 209
Zacharybury, KS 87707-6205"
4543000,4100,2,2,1,no,no,semi-furnished,"8559 Cooper Cove Suite 935
Katherinemouth, NE 81147-6595"
4543000,4990,4,2,2,no,no,furnished,"90043 White Lane Apt. 673
Williamburgh, DE 67265"
4515000,3510,3,1,3,no,no,semi-furnished,"40094 Yates Lodge Suite 008
Fergusonborough, LA 87592-4342"
4515000,3450,3,1,2,no,no,semi-furnished,"17853 Michael Motorway
Danielfurt, MH 28095"
4515000,9860,3,1,1,no,no,semi-furnished,"48466 Brown Port Apt. 116
South Chelseatown, CO 28752"
4515000,3520,2,1,2,no,no,furnished,"0205 Rose Crescent
East Ritaside, MD 10967"
4480000,4510,4,1,2,no,yes,semi-furnished,"18941 Ray Ports
East Nicoleland, OR 67363"
4480000,5885,2,1,1,no,yes,unfurnished,"1515 Watson Fort
Christopherberg, MP 90562"
4480000,4000,3,1,2,no,no,furnished,"170 Smith Wall
South Christopherhaven, AZ 87521"
4480000,8250,3,1,1,no,no,furnished,"064 Kaufman River
Danielburgh, CO 09090"
4480000,4040,3,1,2,no,no,semi-furnished,"295 Angela Harbors
East Patriciaburgh, GA 95388"
4473000,6360,2,1,1,no,yes,furnished,"950 Luis Avenue Suite 364
West Nicole, OR 03658-3559"
4473000,3162,3,1,2,no,yes,furnished,"27945 Clark Tunnel
Kleinmouth, NV 19751-3095"
4473000,3510,3,1,2,no,no,semi-furnished,"6163 Michael Orchard
Gallagherborough, GA 48395"
4445000,3750,2,1,1,no,no,semi-furnished,"4158 Drew Plains Apt. 975
Ericaview, MP 60784"
4410000,3968,3,1,2,no,no,semi-furnished,"503 Howard Pass Apt. 427
Fernandezborough, GA 02514"
4410000,4900,2,1,2,no,no,semi-furnished,"2084 Carter Highway Suite 935
New Stevenmouth, DE 67121"
4403000,2880,3,1,2,no,no,semi-furnished,"2105 Lauren Radial
Lake Michellestad, FL 92096-6812"
4403000,4880,3,1,1,no,no,unfurnished,"3407 Preston Pine
East Mark, NY 86626-3319"
