CentralAir,Area Income,House Age,Number of Rooms,Number of Bedrooms,Area Population,Price,Address
Y,59748.85549,5,8,4,27810,895737.1334,"24282 Paul Valley
West Perry, MI 03169-5806"
Y,56974.47654,8,7,4,40695,1453974.506,"61938 Brady Falls
Lewisfort, DE 61227"
Y,82173.62608,4,7,2,38854,1125692.507,"3599 Ramirez Springs
Jacksonhaven, AZ 72798"
Y,64626.88098,5,7,4,27785,975429.4928,"073 Christopher Falls Suite 882
West Cynthia, MA 89075-2814"
Y,90499.05745,6,4,3,33970,1240763.766,"6531 Chase Prairie Apt. 245
Susanshire, MN 22365"
No,59323.7921,7,8,4,37521,1577017.76,"17124 Johnson Squares
Lake Robertfurt, AL 61811-3832"
No,77811.52203,5,7,3,33755,1246830.188,"1359 Mitchell Vista
Courtneyfort, NY 93065-7224"
Y,68652.60921,6,6,4,39356,1170720.894,"4343 Joshua Lake Suite 096
Pierceview, NV 62614-9110"
Y,55041.35158,7,9,5,30122,1071279.21,"0057 Jacob Coves Apt. 932
Lake Emily, VA 39465-6041"
Y,50218.70846,6,7,6,16811,534305.1323,"039 Jordan Pike
Emilyville, ID 27442"
Y,55909.3223,5,9,6,22355,936368.9634,"66338 Novak Curve Suite 628
Taylorborough, OK 87142-6766"
Y,74372.81021,6,7,2,39395,1199193.831,"7167 Angela Park Suite 013
Morrishaven, NH 66937-4811"
Y,78667.9046,5,8,4,27638,1233220.009,"34964 Sara Fields Apt. 584
Port Raymondville, MO 63585"
Y,78699.5151,6,7,3,22837,1081150.125,"7585 Lynn Loop
East Judy, WV 73336"
Y,53128.18545,5,5,2,32948,524712.7661,"Unit 1388 Box 9350
DPO AP 70848"
No,17796.63119,5,7,3,47162,302355.836,"9932 Eric Circles
Lake Martha, WY 34611-6127"
Y,58566.84936,7,5,2,39705,1026817.4,"7896 Walker Spring
Loriport, MH 72956"
Y,75537.79451,8,8,6,32778,1762214.68,"549 Darren Plaza
Lake Kevin, UT 27155"
Y,46147.05306,7,8,4,27161,882057.1706,"90634 Michelle Valleys
North Victoria, WV 99370"
Y,70421.47649,7,8,4,43184,1744932.211,"580 Lara Neck Apt. 541
Davidsonstad, ID 34638-9802"
Y,62614.42062,5,7,6,26889,1153871.47,"43087 Jerome Field
West Deborah, SD 49213"
Y,66394.87159,7,7,3,39741,1499988.88,"71956 Jenkins Fall
Brooketown, PW 67485-0764"
Y,73946.85107,5,8,6,35261,1109588.38,"8034 Pierce Prairie Suite 727
Devonfurt, NE 33104-8027"
Y,69144.74571,7,6,3,19031,980177.3051,"Unit 8108 Box 5159
DPO AP 04678"
Y,77278.69703,6,7,2,21726,1323952.027,"08639 Garcia Port
Anthonybury, CT 17971"
Y,86754.19663,7,6,4,43017,1662494.736,"91863 Curtis Point
New Richard, AK 99996-7554"
Y,74399.84098,6,7,6,41085,1417819.74,"03819 Lee Junction Suite 046
Mooneyborough, WA 19656"
Y,49408.19834,6,6,3,26881,549976.1456,"7796 Joseph Burg
Danielsside, RI 70370"
No,62279.79005,6,6,4,35264,1054770.981,"173 Mendoza Land
West John, NJ 57690"
Y,73078.20409,6,6,3,54916,1415647.553,"3288 Lee Pass
South Julieton, PW 02759-4964"
Yes,72942.70506,5,7,6,24378,948788.2757,"86908 Marshall Port Suite 252
Scotttown, NM 69143"
Yes,63819.62285,6,8,4,27826,1159596.519,"951 Bryant Dale Suite 735
Lake Jacqueline, NH 95266"
Yes,73265.44989,8,7,3,21031,1547133.396,"00301 Bradshaw Avenue Suite 833
Suzannefurt, IN 00654-8754"
Yes,68488.13117,6,7,5,18268,1186688.506,"84473 Ochoa Pines Apt. 808
Jamesport, KY 70207-2955"
Yes,55193.85745,7,5,4,32538,772111.9721,"13706 Morgan Turnpike Suite 378
Hohaven, NC 42699"
Yes,77434.68924,6,5,3,36252,1172730.156,"4872 Delgado Ramp
North James, IA 36544"
Yes,66158.88159,4,7,2,37099,1111085.017,"73202 Christopher Tunnel
New Roberttown, MN 08925-1536"
No,60502.90933,8,6,4,33580,1022781.171,"8781 Olivia Port Apt. 225
Thompsonside, VT 22884"
Yes,60910.89379,6,7,4,43348,1274474.546,"PSC 9354, Box 0703
APO AA 58696-1278"
Yes,73931.97852,6,5,4,36543,1213530.85,"271 Johnson Hills Apt. 001
Mcculloughfurt, FM 70847"
Y,59539.94845,6,7,,58601,1411730.477,"122 Russo Neck
South Kevin, KY 20712-5282"
Y,56547.50719,5,7,3,37585,858685.5659,"85225 Christopher Inlet Apt. 627
West Calebberg, KS 76460"
Y,65950.34702,5,7,3,40111,1200961.821,"7125 Mullins Cliff
Maryborough, WY 66971"
Y,74533.16208,7,6,4,49482,1520234.229,"905 Lane Pines Suite 348
Brownborough, DE 57196-3319"
Y,66422.91905,7,7,6,31019,1360908.32,"61090 Griffith Ridges
Craigstad, AK 28807-8602"
Y,74334.49485,5,6,4,41640,1360920.53,"270 Jennifer Loop Suite 343
South Jesse, ND 60570-1483"
Y,63538.34616,5,7,3,43282,1146532.455,"10973 Clark Trafficway
Meyersbury, LA 63237"
Y,83953.10484,7,7,3,37283,1789098.521,"91733 Baker Orchard
South Kyle, KS 37301"
Y,57279.06358,5,7,3,44024,852099.464,"024 William Course
East Charlotteview, DE 69073-3104"
Y,56553.55025,6,7,3,29682,746096.7289,"PSC 4455, Box 3268
APO AP 45454"
No,75795.57598,6,7,6,33198,1534479.907,"562 Brown Junction Suite 282
Christopherborough, KS 20719"
Y,70848.78866,5,7,3,40459,1215608.531,"USCGC Thompson
FPO AA 13237-3887"
Y,59787.4045,6,7,3,32402,941594.3284,"65884 Johns Valley Apt. 621
Ethanbury, NY 07783"
Y,64826.37189,4,8,4,60286,1204598.037,"Unit 2139 Box 3667
DPO AP 49517"
No,65925.8538,8,7,3,34171,1597655.258,"253 Golden Island
East Donald, CT 91882"
Y,64419.25264,7,9,6,39318,1492011.496,"4861 Steven Plains Suite 066
Port Reginaland, MN 06152-7205"
Y,58544.4603,9,7,4,30866,1421216.504,"5255 Rebecca Junctions Suite 240
Royshire, WI 85782-2398"
Y,68791.79169,5,7,4,48423,1132522.901,"2833 Townsend Cliffs
New Tommy, MP 86130-3426"
Y,82061.5652,4,6,4,36271,1102821.438,"708 Pena Ramp
Terryburgh, CA 31572-1304"
Y,80659.52544,5,7,6,52947,1856211.35,"8030 Ruiz Dale
Shermanchester, KY 56950-5684"
Y,66668.09352,6,8,3,47075,1687998.933,"Unit 3857 Box 9497
DPO AE 92239"
Y,64721.5645,6,7,4,36116,1063423.007,"042 Mitchell Mountains
Adamsview, OR 44424"
Y,65199.98994,6,7,3,28366,1177289.886,"07420 Victoria Trail Apt. 904
Port Kevinbury, OR 86759"
Y,74579.98953,5,6,3,42806,1173474.379,"38449 Shaw Glen
Pattonside, TX 98415"
No,76273.67033,8,5,3,46975,1637259.999,"82387 Hensley Bypass
Danielmouth, ME 30791"
Y,67561.94206,5,8,4,35518,1238938.291,"02304 Brandon Stravenue Apt. 231
Cordovabury, ID 36688"
Y,48904.98327,5,5,3,32961,201898.0866,"2124 Garcia Viaduct
North Kellytown, DC 30864"
Y,72145.96721,6,8,6,28883,1439506.102,"646 Nicholas Mall Apt. 058
East Danielle, OR 53708"
Y,70805.61068,4,6,3,29269,585608.6326,"874 Laura Throughway Suite 350
Port Michaelberg, PW 94284-9448"
N,65383.33792,8,7,3,35114,1294685.159,"7373 Hart Brooks Apt. 168
East Christianside, PR 72679-9159"
Y,95450.29309,7,7,3,39389,2014851.344,"035 Mark Bridge
West Craig, MT 78649"
Y,73698.69636,6,7,4,51815,1840236.006,"69600 Wilson Rue
Elizabethland, PW 17767-2884"
Y,66263.9105,6,7,4,49830,1441421.913,"001 Steve Plaza
Jessicastad, UT 25190"
Y,75394.75958,7,8,4,22268,1498640.551,"238 Anthony Drive
Acostahaven, AS 62753-6637"
N,65984.75064,7,6,2,21867,954746.5764,"01818 Wilson Spurs
West Andreaton, SD 69568-7005"
Y,66477.26279,7,6,2,32459,1124635.932,"95779 Walton Square
Bakershire, PR 49599"
Y,69284.25964,5,7,3,40283,1169944.248,"124 Russell Mountains Apt. 591
North Sharonfurt, OH 67836-4969"
Y,70404.4961,6,6,2,37128,1114430.953,"73080 Veronica Turnpike Suite 991
New Debra, VA 61246"
Y,74218.48902,8,7,4,46771,1783534.839,"106 Williams Well Apt. 657
Samanthaview, PR 87811"
Y,63441.71465,6,7,3,48062,1302933.248,"Unit 3405 Box 4348
DPO AP 68816-2990"
Y,57493.92457,7,7,4,47039,1241483.612,"4007 Kimberly Crossing
Nathanielview, NC 72093-8287"
Y,81543.77732,6,6,2,9816,954114.544,"Unit 5889 Box 7282
DPO AE 41177-0399"
Y,78633.97376,5,8,3,43729,1555320.5,"075 Andrea Green Suite 201
Johnshire, KS 50389"
Y,52202.85372,5,4,2,42166,404976.3659,"6811 Spears Trail Suite 081
East Troy, MS 43910"
N,67980.38878,6,6,2,25909,1073183.76,"69401 Danielle Motorway
New Dennis, IL 53971"
Y,78568.44916,5,6,2,41017,1422195.879,"2276 Riley Flats Suite 975
Johnmouth, NH 39983"
Y,55472.65483,5,6,3,15354,340605.2113,"91111 Crane Spur
Kathleenmouth, ME 43022-3191"
Y,67579.23479,6,8,6,21763,1170959.526,"744 Hill Ports
Mooreside, MH 20945-2825"
Y,61456.1507,7,6,4,30821,942838.1647,"019 Lisa Village Apt. 379
Maxwellmouth, DE 26176"
Y,60815.39039,7,8,4,31234,1401613.92,"50933 Barber Divide Suite 927
Jacksonborough, NE 46696-1788"
Y,51217.18116,5,9,3,47089,1175504.486,"USS Harrington
FPO AE 12326"
Y,63027.67471,5,6,2,35992,608794.2467,"246 Michele Lock Suite 093
South Michellemouth, VI 62800"
Y,62484.8553,6,7,,26883,946943.0362,"356 Madeline Locks Apt. 115
Kaitlinland, MS 49150-0243"
Y,73923.46627,7,7,6,58745,1819900.637,"232 Allen Ridge
West Jasonview, CT 93021"
Y,79737.60976,7,7,2,28307,1463130.273,"5042 Ricky Road
New Candice, MN 40661-8809"
Y,63890.47157,5,8,,43416,1252391.18,"60860 Griffin Streets Apt. 040
East Catherine, NH 18346"
Y,67310.03695,7,8,,43311,1714445.175,"89002 Robert Square Suite 028
Port Jennyside, CA 38546-6307"
Y,73145.73022,4,7,3,49463,1291759.393,"8533 Sparks Lodge
New Kevin, GA 98179"
Y,86924.35877,7,8,6,28719,1809154.289,"922 Mark Lodge
Matthewton, ID 71131-3139"
Y,74384.10563,7,5,2,17117,1200539.361,"757 Sherri Shores Suite 744
Jesusfurt, OK 73052-4985"
Y,67477.78818,7,8,,29764,1300265.21,"PSC 8479, Box 0952
APO AA 33741"
N,71202.95692,4,7,4,34207,997448.7281,"5560 Michaela Spur Suite 730
West Charlottefurt, PA 00463"
Y,85845.3178,7,9,3,46478,2152959.409,"255 Sosa Pines Suite 751
Wilsonview, MT 31615"
Y,72138.87048,7,8,,35800,1629983.847,"156 Conner Lane
East Brittany, MI 26733"
Y,44806.00516,4,5,3,57391,497579.4466,"478 Vasquez Fort Apt. 346
Aliciaside, NV 37124-6408"
Y,67504.17846,5,6,4,37441,890112.5493,"67610 Smith Knolls
Brendaberg, MA 55188-7972"
Y,74706.10053,5,6,2,39681,1064685.699,"504 Robertson Streets
Jamesshire, WA 56754"
Y,68898.34591,7,8,6,39516,1530124.016,"777 Ross Crossroad
Kaiserville, RI 24445"
Y,58118.01816,8,6,4,35598,1246246.828,"2418 Samantha Green Apt. 016
Port Keithmouth, VT 62207-0408"
Y,77643.28309,6,5,4,35512,1240754.932,"95957 Tara Hill Suite 428
Huntland, KS 57002-5552"
Y,67769.82559,8,7,4,33255,1760734.69,"26906 Simmons Underpass Suite 444
Port Tinashire, DC 13101"
Yes,74411.05989,6,7,6,43538,1393746.76,"4930 James Flats
New Shannon, NJ 75829-8040"
Yes,73101.0788,4,9,4,29498,1172385.898,"78212 Turner Ville Apt. 217
West Lauraberg, MP 47353-3682"
Yes,58708.41716,5,6,4,15970,483986.109,"33410 Smith Summit
West Kimberlyberg, CT 49785-3758"
Yes,63876.05991,7,7,3,38053,1388530.157,"49940 Ramirez Mission Suite 136
West Bryan, MD 95291-3904"
Yes,68343.15409,6,8,6,40654,1721739.384,"4746 Morgan Forge
Diaztown, VT 79978"
Yes,73064.97996,6,7,6,30699,1276448.792,"5808 Burton Viaduct
North Nicholasport, CO 32392-1208"
Yes,67367.26808,7,7,2,32547,1161742.677,"8093 Lara Overpass Apt. 364
Lake Brookebury, NV 30264"
Yes,66547.18175,6,5,2,16742,786407.9451,"249 Susan Canyon
North Jessica, ID 13412"
Yes,73313.54538,6,8,4,37809,1604920.973,"08091 Bush Course
New Michael, RI 47524-7511"
Yes,47681.36173,7,8,,50909,1230149.137,"PSC 6933, Box 3805
APO AP 50576"
Y,67910.94913,6,7,4,31380,1051644.554,"6798 Smith Junctions
Wolfeton, WY 86565-5079"
Y,69277.89125,6,8,,43718,1415073.614,"256 Sanchez Ports Apt. 057
Johnmouth, PA 69763"
Y,67946.71468,5,6,3,35198,1043483.915,"68672 Guzman Ridge
Clinefurt, WI 04078-6179"
Y,90975.11327,5,8,6,44426,1544379.748,"4447 Steven River Suite 076
West Karenmouth, DC 61561-8593"
Y,61885.54644,5,7,3,48727,1352135.967,"USCGC Hess
FPO AE 29193"
Y,69401.84722,7,8,3,29293,1505727.431,"0617 Neal Curve
South Daniel, AS 09326"
Y,72969.12127,6,8,4,31756,1416965.979,"412 Janet Radial Suite 115
Kariview, NY 37073-8343"
Y,75582.45976,6,7,4,31946,1046721.976,"9155 Kayla Station Suite 233
Natalieborough, SC 99093-8399"
Y,56241.22677,6,7,2,32745,939040.0036,"3062 Donald Inlet Suite 642
West Matthew, GU 49340"
Y,79412.83547,6,7,3,17569,1383031.332,"764 Timothy Turnpike
North Audreymouth, TX 02395"
N,79618.23685,5,7,3,29637,1072503.238,"862 Ryan Flat
West Larryborough, WV 11517"
Y,67019.07405,6,7,6,24997,1134397.758,"378 Evans Crest
East Shelbystad, HI 23326"
Y,56063.48087,5,5,4,39129,734827.508,"09897 Katherine Forge
North Johnside, NC 01211"
Y,57077.5803,6,7,4,33394,991892.3175,"2367 Noah Center
North Dakotashire, PA 99619-0890"
Y,75954.81825,4,7,,34468,1057252.583,"19678 Noble Cove Suite 264
South Elizabethfort, CO 13304-1647"
Y,52575.81517,7,7,4,41829,1237224.859,"8803 Jackson Ramp
South Thomasland, RI 09631-6361"
Y,63312.80567,6,8,4,43230,1442632.541,"87629 Shawn Crossing
North William, MN 71601-6188"
Y,82526.9621,6,8,4,43948,1877402.32,"2574 Shannon Alley
South Fred, OR 64217"
Y,73204.94213,7,7,6,35091,1394518.415,"676 Jose Locks Apt. 415
South Cynthia, SC 89264"
Y,56357.19314,6,5,3,38062,953939.3299,"4160 Martinez Bridge Apt. 713
West Ann, MI 89447-0160"
Y,71316.62465,7,7,,21652,1219778.034,"26847 Weber Ports Apt. 767
North Robinton, FM 43014"
Y,75046.8482,5,9,3,32468,1287325.382,"PSC 8891, Box 6475
APO AP 28726-5123"
Y,84474.16006,7,6,2,38678,1739893.555,"623 Jackson Road Apt. 492
Sarahville, NM 19973"
Y,68162.68393,7,7,3,31844,1213382.223,"0575 Edward Cliff
Miguelmouth, NY 06408"
Y,62784.33295,8,5,3,35122,1007478.748,"6660 Alex Park
Barkerfort, WY 52781"
Y,67009.81567,7,8,3,39737,1528756.126,"176 Parker Grove Apt. 591
Nicoleshire, MO 83183-5326"
Y,67437.25036,7,7,2,29356,1182459.772,"203 Amy Ford Suite 158
Kelleyfurt, LA 49990-9626"
Y,65967.76931,7,8,3,35800,1474546.762,"842 Jackson Parkway
Angelabury, MI 68188-8699"
Y,42816.30589,8,7,4,47458,1078016.94,"5339 Charles Road Apt. 570
East Angelicastad, PR 36295-7649"
Y,83347.6697,5,5,3,48227,1453381.624,"0647 Ramirez Hill
New Crystalport, AZ 33060"
Y,81699.88,5,6,4,39527,1495012.965,"4233 Chase Fields
East Vanessabury, OR 85375-7861"
Y,56143.78866,5,7,4,45084,714148.4148,"0606 Ricardo Drive
Williamton, GU 79243"
Y,59513.83492,5,6,3,44162,894292.0474,"14157 Jones Parkway Suite 319
North Haley, AK 18534"
Y,78379.41224,6,6,3,31357,1159841.831,"2579 Pamela Shoals
North Christianhaven, TX 95259"
Y,70877.37574,7,7,,36033,1195986.299,"PSC 5171, Box 6452
APO AA 44610-4655"
Y,61526.97445,7,9,6,27308,1381430.63,"23682 William Glens Apt. 920
Lake Hollystad, CO 20067"
Y,65316.99602,7,7,2,55799,1534889.853,"32521 Martinez Highway
Stephaniehaven, NY 78577"
Y,76268.81833,7,6,3,38650,1494125.33,"9109 Omar View Suite 461
East Sarahfort, WI 02969"
Y,48531.36423,7,9,,39731,1356146.261,"5611 Chandler Mill
East Brianfort, AK 51236-0093"
Y,82906.6548,6,6,4,38820,1454943.074,"PSC 5599, Box 5942
APO AP 55563-1953"
Y,63117.84405,5,6,2,43092,774118.1878,"2128 Shawna Orchard Suite 992
New Melissabury, MN 22338"
Y,75860.86115,4,5,3,41004,889113.2389,"019 Moore Center Apt. 643
West John, KY 54923"
Y,68844.76425,5,7,3,48392,1211102.211,"Unit 3192 Box 6415
DPO AP 76779-7624"
Y,52446.26686,6,7,3,32935,658646.1847,"20185 Mary Crest
South Reneeville, VI 91892"
Y,69342.70684,6,8,3,37082,1400104.871,"18067 Williams Roads Suite 683
South Christineton, CO 76227"
Y,55932.05268,7,6,4,42488,1262017.792,"089 Wilson Forks Suite 185
East Gina, PA 98785-6132"
Y,53306.92214,5,6,2,39063,553077.2126,"9643 Oscar Valley
North Richardstad, ME 14629-9980"
Y,56976.5464,6,7,3,46376,1203247.89,"46619 Morgan Squares
Stevenfurt, FM 70548"
Y,51296.48863,6,8,6,32079,1115323.015,"407 Silva Inlet Apt. 301
East Carolmouth, SC 73414"
Y,63995.00489,8,7,,24748,1301881.417,"USCGC Friedman
FPO AE 57606-0743"
Y,71915.14669,6,6,4,27714,1006687.387,"038 Anderson Club Suite 485
Richardsonfort, MA 22267"
Y,62137.59721,5,7,,19046,749383.0726,"014 Shaun Gardens
Lake Todd, HI 08110"
Y,78050.96983,5,6,4,27790,1075596.587,"2606 Stout Inlet
Port Brenda, SC 59596-5906"
Y,67371.42086,5,7,4,24798,739870.7936,"94952 Hall Cliffs Suite 366
West Jessica, MT 23902"
Y,59362.76638,7,8,3,44723,1442945.145,"8581 Johnson Ranch Apt. 905
Jacquelinefurt, MH 08716-8228"
Y,57003.10964,7,6,3,29595,828497.0671,"089 Jessica Dale
West Melissa, PW 59364"
Y,68989.31221,6,8,6,32630,1373290.861,"USNS Hamilton
FPO AA 90003"
Y,70969.9021,5,6,3,24834,925566.3313,"8016 Hicks Alley Apt. 735
Nicoleside, WV 73615-4795"
Y,82251.65301,8,8,6,18409,1552536.764,"04952 Michael Terrace Apt. 414
Port Tammy, GA 56924-1868"
Y,71306.4573,6,7,2,43284,1335904.501,"3890 Hunt Trail
Davidhaven, OR 04793"
Yes,70921.56857,6,6,3,29390,960808.2911,"8398 Sanchez Gateway Suite 937
Mccoyburgh, PA 32814"
Yes,70739.4601,7,7,6,35149,1405933.019,"67095 Jeffrey Islands Suite 573
West Elizabeth, MI 33061-9433"
Yes,58097.84182,6,6,3,19903,619087.6936,"31995 Moore Brook
New Melissa, MO 19787"
Yes,51273.50885,7,7,2,53812,1329273.228,"Unit 5683 Box 5483
DPO AA 78774-2982"
Yes,76326.59232,5,5,3,42780,1261843.844,"77194 Carlson Causeway Apt. 904
West John, KY 70976"
N,63584.04588,6,6,4,46340,1175781.418,"73601 Donaldson Squares
Port John, VI 73473"
Y,86340.28729,5,6,3,35631,1437053.557,"6864 Michelle Field Apt. 339
Madisonmouth, KY 99033"
Y,79471.23882,6,8,6,36616,1594415.226,"35165 Haley Falls Suite 341
South Elizabeth, VT 29143-4442"
Y,55879.50379,6,5,2,37360,931357.9954,"54993 James Place Suite 797
South Kenneth, CA 86457-1211"
Y,40503.54133,7,7,3,45979,798639.6542,"6799 Downs Plaza
Randallberg, NH 17910-5241"
Y,83394.40783,6,6,2,30488,1451739.625,"79098 Brandon Island Suite 624
Horneshire, MA 35281-8110"
Y,64501.22645,6,7,,43869,1278991.689,"8173 Rush Wells
New Stephanie, MS 56356"
N,59569.53734,6,7,4,31295,885920.5532,"762 Corey Landing Suite 528
Billymouth, AZ 48958"
Y,69280.31627,7,7,4,40291,1425632.542,"077 Laura Curve
New Christopherview, AZ 15138"
Y,66342.48968,6,7,3,11793,901881.7427,"5342 Dean Overpass
Matthewville, MI 08613"
Y,73367.04599,6,9,,23685,1521730.791,"469 William Shore Suite 726
South Krystalchester, MP 47720"
Y,57122.22484,6,6,2,41973,716771.0057,"566 Brown Grove Apt. 886
Cardenasmouth, IN 87042-1285"
Y,61978.84805,8,8,,56957,1696717.107,"017 Bowers Field
Williamsstad, OK 15934-8122"
Y,54299.96882,7,7,2,39513,819598.0078,"05946 Wong Spur
Susanshire, NY 67746-2473"
Y,71424.40601,6,9,3,37243,1584213.957,"9297 Cole Highway
Patrickhaven, DC 02945-8988"
Y,57353.15436,8,6,4,16906,798892.515,"88404 William Cape Apt. 249
Dawsonhaven, MA 21219-3496"
Y,44731.1098,4,9,,39633,601973.0017,"4896 Jennifer River Apt. 180
Shafferberg, MN 77619-4214"
Y,76175.49393,5,10,4,30761,1456486.293,"82014 Stanton Gardens Suite 664
Lake Dawnborough, DC 86197-4191"
Y,66574.70999,6,7,2,69575,1702406.039,"551 Macdonald Viaduct
West Stephanie, TN 55360"
Y,91731.15438,5,8,6,33102,1566471.008,"860 Thompson Skyway Suite 901
Kimshire, AR 37353-5106"
Y,75487.0326,6,8,4,41105,1592210.176,"5036 Peterson Throughway
East Megan, GA 08456-4696"
Y,58088.43813,6,6,4,51925,937628.3467,"Unit 5584 Box 2763
DPO AE 40544"
Y,76319.2186,7,6,3,48026,1558547.578,"09437 Carolyn Mountain
Knappview, CA 70608-7504"
Y,60575.16244,6,7,2,32159,1156329.274,"5052 Chloe Lights Apt. 374
North Scott, IA 81431"
Y,69607.13367,7,8,3,34609,1514349.692,"8781 Robert Lakes Suite 880
East Wendy, ID 51813"
Y,67056.84048,5,7,,25135,1039107.326,"3440 Cannon Lakes
Port Melaniehaven, WA 60324-0399"
Y,60640.93188,5,5,2,43120,809089.6719,"0956 Isabella Lodge
East Valeriefurt, CO 64441"
Y,69031.90888,6,6,3,15660,675536.3915,"36736 Kristi Radial
Port Carl, ID 35292-9269"
Y,80356.20939,5,10,,16215,1373589.804,"10492 Reed Track
North Ericstad, IA 78774-8363"
Y,60081.17662,7,8,4,60196,1690091.019,"Unit 6269 Box 9041
DPO AE 13073"
Y,61881.47931,7,7,,35597,1253370.149,"1486 Elizabeth Plains Apt. 235
New Cynthia, MD 73729-5878"
Y,59590.96529,7,6,2,24154,774073.5619,"239 Anna Locks Suite 853
Lisaland, GA 31515-2260"
No,89831.31929,5,8,6,45335,1741959.834,"77610 Evan Field Apt. 712
West Shannonland, WI 30751"
Y,72175.2835,7,7,2,50306,1705762.788,"11385 Thomas Ford
New Karinaton, HI 01691-9923"
Y,67589.04884,6,6,2,33203,1071109.917,"385 Barnes Lock Suite 561
Lake Kellytown, NJ 74310"
Y,77300.03144,5,7,4,29499,1118047.991,"039 Chan Meadows
South Amandahaven, TN 78068"
No,65382.88832,5,8,6,41723,1165253.033,"945 Schneider Villages Apt. 519
West Brittneyburgh, ID 36371-1622"
Y,71145.2127,6,7,2,35643,1280910.19,"15288 Steven Extensions Suite 209
Zacharybury, KS 87707-6205"
Y,61053.038,6,6,2,40676,841122.8824,"8559 Cooper Cove Suite 935
Katherinemouth, NE 81147-6595"
Y,65125.94787,6,7,4,37643,1228810.745,"90043 White Lane Apt. 673
Williamburgh, DE 67265"
Y,51949.2957,6,8,5,35336,1086072.071,"40094 Yates Lodge Suite 008
Fergusonborough, LA 87592-4342"
Y,75897.98884,5,7,3,34163,1204372.295,"17853 Michael Motorway
Danielfurt, MH 28095"
Y,71468.3505,6,6,3,43269,1345004.12,"48466 Brown Port Apt. 116
South Chelseatown, CO 28752"
Y,53287.99207,6,7,3,45152,1116902.345,"0205 Rose Crescent
East Ritaside, MD 10967"
Y,61503.0406,5,7,3,37651,822431.7303,"18941 Ray Ports
East Nicoleland, OR 67363"
Y,68896.04856,6,8,4,28395,1360623.694,"1515 Watson Fort
Christopherberg, MP 90562"
Y,91159.41833,7,7,3,54861,2298379.487,"170 Smith Wall
South Christopherhaven, AZ 87521"
Y,63375.34848,7,8,3,45633,1400498.268,"064 Kaufman River
Danielburgh, CO 09090"
Y,59695.57147,5,6,2,20703,566848.7321,"295 Angela Harbors
East Patriciaburgh, GA 95388"
Y,63183.88974,6,8,5,58691,1367586.278,"950 Luis Avenue Suite 364
West Nicole, OR 03658-3559"
Y,61177.80813,7,7,5,26396,1113373.52,"27945 Clark Tunnel
Kleinmouth, NV 19751-3095"
Y,58642.31122,5,6,3,35132,721974.5515,"6163 Michael Orchard
Gallagherborough, GA 48395"
Y,53112.27806,5,6,4,40367,685503.9903,"4158 Drew Plains Apt. 975
Ericaview, MP 60784"
